Gospels (89 days),, Pentateuch (107 days),,NT Paul (87 days),,Former Prophets + Ezekiel (98 days),,Latter Prophets (94 days),,"The Writings, Part I (86 days)",,"The Writings, Part 2    (85 days)",,"The Writings, Part 3 (101 days)",,NT Non-Paul (83 days),
,,,,,,,,,,,,,,,,,
Matthew,1,Genesis,1-2,Romans,1,Joshua,1-2,Isaiah,1-2,Psalms,1-2,Proverbs,1,Esther,1,Acts,1
Matthew,2,Genesis,3-4,Romans,2,Joshua,3-4,Isaiah,3-4,Psalms,3-4,Proverbs,2,Esther,2,Acts,2
Matthew,3,Genesis,5-6,Romans,3,Joshua,5-6,Isaiah,5-6,Psalms,5-6,Proverbs,3,Esther,3-4,Acts,3
Matthew,4,Genesis,7-8,Romans,4,Joshua,7-8,Isaiah,7-8,Psalms,7-8,Proverbs,4,Esther,5-6,Acts,4
Matthew,5,Genesis,9-10,Romans,5,Joshua,9-10,Isaiah,9-10,Psalms,9-10,Proverbs,5,Esther,7-8,Acts,5
Matthew,6,Genesis,11-12,Romans,6,Joshua,11-12,Isaiah,11-12,Psalms,11-12,Proverbs,6,Esther,9-10,Acts,6
Matthew,7,Genesis,13-14,Romans,7,Joshua,13-14,Isaiah,13-14,Psalms,13-14,Proverbs,7,Daniel,1,Acts,7
Matthew,8,Genesis,15-16,Romans,8,Joshua,15-16,Isaiah,15-16,Psalms,15-16,Proverbs,8,Daniel,2,Acts,8
Matthew,9,Genesis,17-18,Romans,9,Joshua,17-18,Isaiah,17-18,Psalms,17-18,Proverbs,9,Daniel,3,Acts,9
Matthew,10,Genesis,19-20,Romans,10,Joshua,19-20,Isaiah,19-20,Psalms,19-20,Proverbs,10,Daniel,4,Acts,10
Matthew,11,Genesis,21-22,Romans,11,Joshua,21-22,Isaiah,21-22,Psalms,21-22,Proverbs,11,Daniel,5,Acts,11
Matthew,12,Genesis,23,Romans,12,Joshua,23-24,Isaiah,23-24,Psalms,23-24,Proverbs,12,Daniel,6,Acts,12
Matthew,13,Genesis,24,Romans,13,Judges,1-2,Isaiah,25-26,Psalms,25-26,Proverbs,13,Daniel,7,Acts,13
Matthew,14,Genesis,25-26,Romans,14,Judges,3-4,Isaiah,27-28,Psalms,27-28,Proverbs,14,Daniel,8,Acts,14
Matthew,15,Genesis,27-28,Romans,15,Judges,5-6,Isaiah,29-30,Psalms,29-30,Proverbs,15,Daniel,9,Acts,15
Matthew,16,Genesis,29-30,Romans,16,Judges,7-8,Isaiah,31-32,Psalms,31-32,Proverbs,16,Daniel,10,Acts,16
Matthew,17,Genesis,31-32,1 Corinthians,1,Judges,9-10,Isaiah,33-34,Psalms,33-34,Proverbs,17,Daniel,11,Acts,17
Matthew,18,Genesis,33-34,1 Corinthians,2,Judges,11-12,Isaiah,35-36,Psalms,35-36,Proverbs,18,Daniel,12,Acts,18
Matthew,19,Genesis,35-36,1 Corinthians,3,Judges,13-14,Isaiah,37-38,Psalms,37-38,Proverbs,19,Ezra,1,Acts,19
Matthew,20,Genesis,37-38,1 Corinthians,4,Judges,15-16,Isaiah,39-40,Psalms,39-40,Proverbs,20,Ezra,2,Acts,20
Matthew,21,Genesis,39-40,1 Corinthians,5,Judges,17-18,Isaiah,41-42,Psalms,41-42,Proverbs,21,Ezra,3,Acts,21
Matthew,22,Genesis,41-42,1 Corinthians,6,Judges,19-20,Isaiah,43-44,Psalms,43-44,Proverbs,22,Ezra,4,Acts,22
Matthew,23,Genesis,43-44,1 Corinthians,7,"Judges 21, 1 Samuel 1",,Isaiah,45-46,Psalms,45-46,Proverbs,23,Ezra,5,Acts,23
Matthew,24,Genesis,45-46,1 Corinthians,8,1 Samuel,2-3,Isaiah,47-48,Psalms,47-48,Proverbs,24,Ezra,6,Acts,24
Matthew,25,Genesis,47-48,1 Corinthians,9,1 Samuel,4-5,Isaiah,49-50,Psalms,49-50,Proverbs,25,Ezra,7,Acts,25
Matthew,26,Genesis,49-50,1 Corinthians,10,1 Samuel,6-7,Isaiah,51-52,Psalms,51-52,Proverbs,26,Ezra,8,Acts,26
Matthew,27,Exodus,1-2,1 Corinthians,11,1 Samuel,8-9,Isaiah,53-54,Psalms,53-54,Proverbs,27,Ezra,9,Acts,27
Matthew,28,Exodus,3-4,1 Corinthians,12,1 Samuel,10-11,Isaiah,55-56,Psalms,55-56,Proverbs,28,Ezra,10,Acts,28
Mark,1,Exodus,5-6,1 Corinthians,13,1 Samuel,12-13,Isaiah,57-58,Psalms,57-58,Proverbs,29,Nehemiah,1,Hebrews,1
Mark,2,Exodus,7-8,1 Corinthians,14,1 Samuel,14-15,Isaiah,59-60,Psalms,59-60,Proverbs,30,Nehemiah,2,Hebrews,2
Mark,3,Exodus,9-10,1 Corinthians,15,1 Samuel,16-17,Isaiah,61-62,Psalms,61-62,Proverbs,31,Nehemiah,3,Hebrews,3
Mark,4,Exodus,11-12,1 Corinthians,16,1 Samuel,18-19,Isaiah,63-64,Psalms,63-64,Job,1,Nehemiah,4,Hebrews,4
Mark,5,Exodus,13-14,2 Corinthians,1,1 Samuel,20-21,Isaiah,65-66,Psalms,65-66,Job,2,Nehemiah,5,Hebrews,5
Mark,6,Exodus,15-16,2 Corinthians,2,1 Samuel,22-23,Jeremiah,1-2,Psalms,67-68,Job,3,Nehemiah,6,Hebrews,6
Mark,7,Exodus,17-18,2 Corinthians,3,1 Samuel,24-25,Jeremiah,3-4,Psalms,69-70,Job,4,Nehemiah,7,Hebrews,7
Mark,8,Exodus,19-20,2 Corinthians,4,1 Samuel,26-27,Jeremiah,5-6,Psalms,71-72,Job,5,Nehemiah,8,Hebrews,8
Mark,9,Exodus,21-22,2 Corinthians,5,1 Samuel,28-29,Jeremiah,7-8,Psalms,73-74,Job,6,Nehemiah,9,Hebrews,9
Mark,10,Exodus,23-24,2 Corinthians,6,1 Samuel,30-31,Jeremiah,9-10,Psalms,75-76,Job,7,Nehemiah,10,Hebrews,10
Mark,11,Exodus,25-26,2 Corinthians,7,2 Samuel,1-2,Jeremiah,11-12,Psalms,77-78,Job,8,Nehemiah,11,Hebrews,11
Mark,12,Exodus,27-28,2 Corinthians,8,2 Samuel,3-4,Jeremiah,13-14,Psalms,79-80,Job,9,Nehemiah,12,Hebrews,12
